ID,SMILES,MolWt,SA_score,NumAtoms,Total_Energy_Ha,HOMO_eV,LUMO_eV,BandGap_eV,Absorption_nm,,,
GQD1,C1=CC2=CC=c3ccc4cc5cc6c(cc7c8c9c(c%10ccccc%10c86)=c6ccccc6=C6C=CC=C(C=7)C69)cc5c5c4c3C2C(=C1)C=5,602.736,4.98,48,-116.0621787,-8.9152,-8.1433,0.771850234,1606.529279,,,
GQD2,C1=CC2=c3cc4ccc5ccc6c7c(cc8cc9ccc%10c%11c%12ccc%13ccccc%13c%12ccc%11c%11cc%12c%13c(cc%14c%15cccc%16c%15c%15c(c8c%167)c9c%10c%11c%15c%14%12)c7cccc8cc9cccc%10ccc%13c(c%109)c87)c7cc8c9c%10ccc%11ccccc%11c%10cc%10c%11cccc%12cc%13c%14c(c%15c3c3c4c5c6c7c3c8c%15c(c%14c%12%11)c%109)C2C(=C1)C=%13,1453.671,6.024,117,-118.2545337,-9.276,-7.7976,1.478325095,838.7870869,,,
GQD3,C1=CC2=c3ccccc3=c3c4c5c(cccc5c5ccc6c(c35)C=C3c5ccccc5C=C5C=c7ccccc7=C6C53)=CC(=C1)C24,578.714,4.762,46,-163.0603755,-9.0044,-8.1646,0.839782777,1476.572316,,min SA,1.972
GQD4,C1=CC2=c3ccc4c(ccc5cc6ccc7ccccc7c6cc54)c3=c3ccc4cccc5c4c3C2C(=C1)C=5,490.605,3.841,39,-187.7220636,-9.2455,-7.821,1.424573745,870.4358089,,max SA,6.57
GQD5,C1=CC2=c3cc4ccccc4c4ccc5cc6cc7c(ccc8c9cc%10c%11c%12ccc%13ccccc%13c%12cc%12c%13cccc%14cc%15c%16c%17c%18c%19c(cc%20ccc%21ccc(c78)c7c%21c%20c%19c(c97)c%10c%18c(c%16c%14%13)c%12%11)=C7C=CC=C(C=%15)C7%17)c7c6c(c5c34)C2C(=C1)C=7,1095.272,5.773,88,-118.2501255,-9.1534,-7.9924,1.161060845,1067.988818,,average SA,4.48157483
GQD6,C1=CC2=c3ccc4cc5cc6ccccc6c6ccc7cc(c3c4c7c56)C3=Cc4ccc5c(ccc6c7c8c9c%10c(ccc%11c%12ccccc%12cc(c%11%10)=C%10C=CC=C(C=7)C%109)cc8cc65)c4C(=C1)C32,851.02,5.246,68,-133.8455158,-8.8395,-8.1872,0.652247524,1901.118754,,,6640
GQD7,C1=CC2=c3cc4ccccc4c4c5c6c(ccc5c5cc7cc8ccccc8c8c7c(c5c34)C2C(=C1)C=8)=CC1=Cc2c(ccc3c2ccc2ccccc23)C2=Cc3ccccc3C=6C12,802.976,5.057,64,-146.9393326,-8.9014,-8.3484,0.552988798,2242.36007,,min MolWt,416.523
GQD8,C1=CC2=c3ccccc3=c3ccc4cc5cc6ccc7c8c(cc9c%10cccc%11c%12cccc%13cc%14ccc%15c%16c%17ccc%18ccccc%18c%17ccc%16c%16cc8c9c8c%16c%15c%14c(c%13%12)c8c%11%10)c8cccc9cc(c5c5c4c3C2C(=C1)C=5)c6c7c98,1035.217,4.944,83,-123.51214,-9.0706,-7.9518,1.118743987,1108.385846,,max MolWt,1453.671
GQD9,C1=CC2=c3ccccc3=c3c4c5c(c6cc7c(ccc8cc9ccccc9cc87)cc6cc5c5ccccc35)=CC(=C1)C24,540.665,3.896,43,-152.2901636,-8.9512,-8.1565,0.794623495,1560.487461,,Average MolWt,770.0615867
GQD10,C1=CC2=Cc3cccc4cc5c6ccc7c(ccc8ccc9cc%10ccc%11ccccc%11c%10cc9c87)c6c6cccc7c6c5c(c34)C2C7=C1,614.747,3.833,49,-99.07739835,-9.27,-7.8844,1.385650955,894.8862594,,,
GQD11,C1=CC2=Cc3cccc4c5c6c7c(c34)C2C(=C1)C1=CC=CC(=C2C=CC=C(c3c-5ccc4c5c(ccc34)C3=c4ccccc4=CC4=Cc8c(ccc9c8ccc8ccccc89)C(=C5)C43)C26)C17,829.014,5.777,66,-96.94516885,-9.6933,-7.6896,2.003767907,618.8341452,,min Gap,0.000149994
GQD12,c1ccc2c(c1)ccc1ccc3cc4c(cc3c12)c1ccccc1c1c2ccccc2c2ccc3c5cc6c7c(cc8c9cccc%10c%11cccc%12cc%13ccc(c3c2c41)c1c%13c(c%12%11)c(c%109)c(c86)c51)c1cccc2cc3cccc4ccc7c(c43)c21,1073.266,3.829,86,-181.5280817,-9.3219,-7.8795,1.442411606,859.6713967,,max Gap,2.436124058
GQD13,C1=CC2=c3ccc4cc5cc6cc7ccc8c(ccc9ccc%10cc%11ccc%12ccccc%12c%11cc%10c98)c7cc6c6ccc7cc(c3c4c7c56)C3=Cc4ccccc4C(=C1)C32,764.927,4.258,61,-159.6745616,-8.8639,-8.2461,0.617859406,2006.929065,,Average Gap,0.875121464
GQD14,C1=CC2=CC=c3ccc4cc5ccc6c7c(ccc6c5c5c4c3C2C(=C1)C=5)=C1C=CC=C2C=c3cccc4ccc=7c(c34)C21,552.676,4.965,44,-187.7528524,-9.2401,-7.8391,1.400923257,885.1305693,,,
GQD15,C1=CC2=c3c(ccc4cc5cccc6c7cccc8cc9ccccc9c(c87)c(c34)c56)=c3ccc4cccc5c4c3C2C(=C1)C=5,564.687,3.987,45,-94.754329,-9.1854,-7.9292,1.25628009,987.0410348,,,
GQD16,c1ccc2c(c1)ccc1c2ccc2c3cc4c5c(cc6c7cccc8c9cccc%10cc%11ccc(c12)c1c%11c(c%109)c(c87)c(c64)c31)c1cccc2cc3c4c(ccc5c4c21)cc1cc2cc4ccccc4c4c5cccc6cccc(c65)c(c13)c24,1047.228,3.81,84,-121.384752,-9.1664,-7.9014,1.265050581,980.197961,,,
GQD17,C1=CC2=CC=c3ccc4cc5cc6c(cc5c5c4c3C2C(=C1)C=5)c1c2c(cc3ccc4c5ccccc5cc5cc6c2c3c54)C2=Cc3ccccc3C3=CC=CC=1C32,726.878,5.031,58,-139.5660955,-9.1757,-7.9234,1.252313359,990.1675097,,,
GQD18,c1ccc2c(c1)ccc1ccc3cc4ccc5ccc6cc7ccc8c(cc9ccc%10cccc%11c%12ccccc%12c8c9c%10%11)c7cc6c5c4cc3c12,652.796,2.683,52,-183.4328467,-8.8891,-8.5256,0.363473913,3411.524062,,,
GQD19,C1=CC2=c3ccccc3=c3ccc4cc5c(c6c4c3C2C(=C1)C=6)c1cc2c3c(ccc4cc6cc7ccccc7c5c6c1c43)=C1C=CC=C3c4ccccc4C=C2C31,726.878,5.061,58,-183.429147,-8.8858,-8.5471,0.338686259,3661.205517,,,
GQD20,C1=CC2=CC=CC3=Cc4c(ccc5ccc6c(c45)C4=c5ccccc5=CC5=Cc7c(ccc8c7ccc7ccccc78)C(=C6)C54)C(=C1)C23,604.752,4.668,48,-135.2313792,-8.7404,-8.3912,0.349240361,3550.563275,,,
GQD21,C1=CC2=CC=CC3=CC4=Cc5cccc6c5c(cc5cc7c(ccc8ccc9cc%10ccc%11ccc%12ccccc%12c%11c%10cc9c87)cc56)C4C(=C1)C23,654.812,4.433,52,-194.250729,-8.9386,-8.5683,0.370331965,3348.347205,,,
GQD22,c1ccc2c(c1)ccc1c2ccc2c3cc4c5c(cc6c7c8cc9ccc%10cc%11c%12ccccc%12ccc%11c%11c%12ccccc%12c(c8cc8c%12cccc%13cc%14ccc(c12)c1c%14c(c%13%12)c(c87)c(c46)c31)c9c%10%11)c1cccc2cc3cccc4ccc5c(c43)c21,1097.288,3.878,88,-209.1188853,-8.9246,-8.595,0.329571205,3762.464624,,,
GQD23,c1ccc2cc3c(cc2c1)c1ccccc1c1c3cc2cc3cccc4c5cc6c7cccc8c9cccc%10cc%11ccc%12c%13c%14ccc%15ccccc%15c%14ccc%13c%13cc(c5c5ccc1c2c5c34)c6c1c%13c%12c%11c(c%109)c1c87,973.146,3.548,78,-115.7268408,-9.1564,-7.9043,1.252072466,990.3580134,,,
GQD24,C1=CC2=c3ccc4cc5cc6ccccc6c6ccc7cc(c3c4c7c56)C3=Cc4c(ccc5c4ccc4ccc6c(ccc7c8cc9c%10c(cc%11c%12cccc%13c%14cccc%15cc%16ccc(c67)c6c%16c(c%15%14)c(c%13%12)c(c%119)c86)c6cccc7cc8cccc9ccc%10c(c98)c76)c45)C(=C1)C32,1209.419,5.296,97,-204.8188016,-8.9305,-8.5616,0.368859874,3361.710198,,,
GQD25,C1=CC2=c3cc4ccc5ccc6ccc7cc8c9c%10ccc%11ccccc%11c%10cc%10c%11cc%12c(cc%13cccc%14c%13c%12c%12cccc%13cc%15ccccc%15c%14c%13%12)c%12cc%13c%14c(c%15c3c3c4c5c6c7c3c8c%15c(c%14c%12%11)c%109)C2C(=C1)C=%13,983.141,4.878,79,-149.1584575,-8.9982,-8.2012,0.796946031,1555.93974,,,
GQD26,C1=C2C=c3ccccc3=C3c4ccccc4C=C(c4ccc5c(ccc6c5ccc5c7ccc8ccccc8c7c7cc8c(ccc9ccccc98)cc7c65)c41)C23,716.883,3.986,57,-197.3393908,-8.9069,-8.5425,0.364460396,3402.290108,,,
GQD27,C1=CC2=c3cc4cc5cc6c(ccc7cc8ccccc8cc76)cc5cc4c4ccc5cc6cc7ccccc7c7c6c(c5c34)C2C(=C1)C=7,614.747,4.069,49,-163.0578605,-8.9845,-8.1755,0.809009704,1532.738104,,,
GQD28,C1=C2C=c3ccccc3=C3c4ccccc4C=C(c4ccc5c(ccc6c5ccc5ccc7c(c56)C=C5C=c6ccccc6=C6c8ccccc8C=C7C56)c41)C23,704.872,4.613,56,-132.1244627,-8.8934,-8.3404,0.55295551,2242.495061,,,
GQD29,C1=CC2=CC=CC3=Cc4ccc5cc6c(cc5c4C(=C1)C23)C=C1c2ccccc2C=C2C=c3ccccc3=C6C21,504.632,4.581,40,-137.3968087,-9.0973,-8.0912,1.006089839,1232.494308,,,
GQD30,C1=CC2=Cc3cc4c5ccccc5c5ccc6c(c5c4c4c5c7c8c(c34)C2C(=C1)C1=CC=CC(=C2C=CC=C(c3ccccc3-5)C27)C18)C=C1C=c2ccccc2=C2c3ccccc3C=C6C12,829.014,5.776,66,-138.4038108,-8.9672,-8.2149,0.752223563,1648.446102,,,
GQD31,C1=CC2=c3ccccc3=c3ccc4cc5c6ccc7cccc8c9cccc%10ccc(c5c5c4c3C2C(=C1)C=5)c(c%109)c6c78,538.649,3.978,43,-192.0918528,-9.3119,-7.8768,1.435044469,864.0847213,,,
GQD32,C1=CC2=c3cc4cc5cc6ccc7ccc8ccc9cccc%10c9c8c7c6c%10c5cc4c4ccc5cc6cc7ccccc7c7c6c(c5c34)C2C(=C1)C=7,662.791,4.246,53,-120.4322705,-9.4521,-7.9787,1.473391525,841.5957191,,,
GQD33,c1ccc2c(c1)cc1cccc3c4cccc5c6ccc7ccc8c(cc9ccc%10cccc%11c%12ccccc%12c8c9c%10%11)c7c6cc(c54)c2c13,626.758,2.602,50,-112.9759941,-9.2806,-7.8051,1.475510263,840.3872417,,,
GQD34,C1=CC2=Cc3cc4cc5ccc6ccc7ccc8cccc9c8c7c6c5c9c4c4cc5ccc6cccc7c6c5c(c34)C2C7=C1,562.671,3.911,45,-133.1089221,-9.0479,-8.2177,0.83028909,1493.455731,,,
GQD35,C1=C2C=c3ccccc3=C3c4ccccc4C=C(c4ccc5c6ccccc6c6cc7ccc8cc9ccc%10ccc%11ccccc%11c%10c9cc8c7cc6c5c41)C23,716.883,4.072,57,-147.0359226,-9.0406,-8.1945,0.846041957,1465.648352,,,
GQD36,C1=CC2=CC=CC3=CC4=Cc5c6c(cc7ccccc7c6cc6ccc7c(c56)=CC5=Cc6c(ccc8c6ccc6ccccc68)C6=Cc8ccccc8C=7C56)C4C(=C1)C23,742.921,5.217,59,-135.2391276,-8.9008,-8.3177,0.583126,2126.470094,,,
GQD37,C1=CC2=Cc3cccc4c5c6c7c(c34)C2C(=C1)C1=CC=CC(=C2C=CC=C(c3ccc4cc8c9c%10c(c%11ccccc%118)=c8ccccc8=C8C=CC=C(C=c9c4c3-5)C8%10)C26)C17,752.916,5.809,60,-118.2626405,-9.2256,-7.9045,1.321045539,938.6504578,,,
GQD38,C1=CC2=c3ccc4cc5cc6ccccc6c6c7ccc8c9cc%10c(ccc%11ccc%12ccccc%12c%11%10)cc9ccc8c7c7cc(c3c4c7c56)C3=Cc4ccccc4C(=C1)C32,764.927,4.266,61,-96.93603805,-9.4918,-7.9462,1.545561152,802.2975981,,,
GQD39,c1ccc2c(c1)ccc1c2ccc2c3cc4c5c(cc6c7cccc8c9cccc%10cc%11ccc(c12)c1c%11c(c%109)c(c87)c(c64)c31)c1cccc2cc3cccc4c6ccc7ccc8cc9ccc%10ccc%11ccccc%11c%10c9cc8c7c6c5c(c21)c34,,,,-199.5077866,-8.943,-8.537,0.406018493,3054.048082,,,
